zipcode,population density (per sq mile),population
12517,60.2,631
12918,60.2,2389
12766,59.9,482
14825,59.7,1007
14838,59.6,2160
14571,59.5,1123
12160,59.2,1058
13841,59.1,730
13460,58.8,4213
14847,58.5,2282
12092,58.4,884
13733,58.4,5332
12115,58.3,304
12165,58.2,188
13849,58.2,3893
14779,58.2,6629
12762,57.8,395
13326,57.7,5545
14740,57.4,1496
12062,57.4,1677
13865,57.1,6373
14533,56.8,1826
13809,56.7,1706
13345,56.5,280
13111,56.0,1496
14883,55.8,4056
12167,55.7,2561
13842,55.6,702
12846,55.4,3289
12072,55.4,2697
12168,55.4,1937
13787,55.3,3543
14738,55.1,3641
14772,55.1,4087
14058,54.9,2190
12470,54.7,537
10975,54.6,328
12939,54.6,227
14821,54.6,2967
13063,54.5,1901
10985,54.5,14
12029,54.3,1105
13332,54.2,2672
12737,54.1,2062
14145,54.1,1522
14726,53.9,2193
13431,53.7,1995
12916,53.6,2225
13826,53.6,58
12811,53.4,92
12865,53.3,3876
13642,53.3,9849
12957,53.3,1702
14817,53.3,2151
12457,53.2,743
12734,52.7,728
14840,52.7,3110
12937,52.6,1723
13092,52.0,2527
14747,51.8,2261
14801,51.7,5638
13491,51.7,3741
13863,51.6,793
12770,51.3,245
14879,51.3,2231
12149,51.3,2415
14008,51.2,1295
14091,50.7,1078
13334,50.5,1498
14101,50.5,2171
13807,50.3,1217
13411,50.2,3453
13622,50.0,2980
12860,50.0,815
13780,49.6,1111
14462,49.6,594
